the_liquor_act;The Liquor Act;Loi relative à l'alcool;Der Alkoholakt;;La ley de bebidas alcohólicas;;;;;;;;;x;
desc_the_liquor_act;Regulations and licence fees have been introduced in regards to the sale of gin.;Des réglementations pour la vente de gin ont été mises en place en imposant des frais de licence.;Beschränkungen und Lizenzgebühren wurden im Bezug auf den Verkauf von Gin eingeführt.;;Se han introducido regulaciones y tasas de licencia en lo referente a la venta de alcohol.;;;;;;;;;x;
the_joint_stock_companies_act;The Joint-Stock Companies Act;Loi relative aux sociétés par actions;Der Gesellschaftskapital-Akt;;La ley de sociedades anónimas;;;;;;;;;x;
desc_the_joint_stock_companies_act;It is henceforth forbidden to form a joint-stock company without Royal authorisation.;Il est désormais interdit de créer une société par actions sans autorisation royale.;Es ist von nun an verboten, Kapitalgesellschaft ohne königliche Autorisierung zu gründen.;;De aquí en adelante, queda prohibida la formación de sociedades anónimas sin la autorización real.;;;;;;;;;x;
the_merchant_shipping_act;The Merchant Shipping Act;Loi relative aux navires marchands;Der Handelsschifffahrts-Akt;;La ley de la marina mercante;;;;;;;;;x;
desc_the_merchant_shipping_act;A limit has been imposed on shipowner’s liability in regards to damaged or lost goods due to robbery.;Une limite de responsabilité a été imposée aux propriétaires de navires relative aux marchandises endommagées ou perdues résultant d'un vol.;Ein Limit wurde eingeführt für die Haftung des Schiffseigners in Bezug auf durch Raub beschädigte oder verlorene Güter.;;Se ha impuesto un límite sobre la responsabilidad de las compañías navieras en lo referente al daño o pérdida de mercancías debidos al robo.;;;;;;;;;x;
the_witchcraft_act;The Witchcraft Act;Loi relative à la sorcellerie ;Der Hexereiakt;;La ley de brujería;;;;;;;;;x;
desc_the_witchcraft_act;Any practise of witchcraft, sorcery or enchantment is henceforth considered a felony in common law.;La pratique de la sorcellerie, sous toutes ses formes, est désormais considérée comme criminelle.;Jedes praktizieren von Hexerei, Zauberei oder Verzauberung wird von nun an als Verbrechen angesehen.;;A partir de ahora, toda práctica de brujería, magia o hechicería se considera delito en el ordenamiento.;;;;;;;;;x;
the_education_act;The Education Act;Loi relative à l'éducation;Der Bildungsakt;;La ley de educación;;;;;;;;;x;
desc_the_education_act;Henceforth education is compulsory for those who are to govern our legal system.;L'éducation est désormais obligatoire pour ceux qui seront amenés à gouverner notre système juridique.;Von nun an ist Bildung zwingen für jene vorgeschrieben, die unser Justizsystem lenken sollen.;;De ahora en adelante, es obligatoria la formación de aquellos que deban estar al cargo de nuestro sistema legal.;;;;;;;;;x;
the_abolish_slavery_act;The Abolition of Slavery Act;Loi relative à l'abolition de l'esclavage;Der Akt zur Abschaffung der Sklaverei;;La ley de abolición de la esclavitud;;;;;;;;;x;
desc_the_abolish_slavery_act;Slave trade and slavery is henceforth prohibited throughout our nation.;L'esclavage ainsi que le commerce des esclaves sont désormais interdit dans tout le pays.;Sklavenhandel und Sklaverei ist von nun an in unserem ganzen Land verboten.;;A partir de ahora, el comercio de esclavos y la esclavitud están prohibidos en toda la nación.;;;;;;;;;x;
the_judiciary_act;The Judiciary Act;Loi judiciaire;Der Justizakt;;La ley del poder judicial;;;;;;;;;x;
desc_the_judiciary_act;A national court system has been established that will be responsible for the administration and interpretation of the law.;Un système judiciaire national chargé de l'administration et de l'interprétation de la loi a été établi.;Ein nationales Gerichtssystem wurde eingerichtet, das für die Administration und Interpretation des Gesetzes zuständig ist.;;Se ha establecido un sistema judicial que será el responsable de la administración e interpretación de la ley.;;;;;;;;;x;
the_combination_act;The Combination Act;Loi relative à la combinaison;Der Verknüpfungs-Akt;;La ley de asociación;;;;;;;;;x;
desc_the_combination_act;Every measure has been taken to prevent future strikes. All unlawful formations of trade- or labour unions are henceforth prohibited.;Toutes les mesures ont été prises pour éviter de futures attaques. La formation de combinaisons illégales de types commerce/travail est désormais interdite.;Jeder mögliche Schritt wurde unternommen, um zukünftige Streiks zu unterbinden. Alle ungesetzlichen Formationen wie Handels- und Arbeitsgewerkschaften sind nun verboten.;;Se han tomado las medidas necesarias para evitar futuras huelgas. De ahora en adelante, queda prohibida la formación ilegal de asociaciones de comercio o sindicatos.;;;;;;;;;x;
western_balkans;Western Balkans;Balkans occidentaux;Westlicher Balkan;;Balcanes occidentales;;;;;;;;;x;
croatia;Croatia;Croatie;Kroatien;;Croacia;;;;;;;;;x;
serbia;Serbia;Serbie;Serbien;;Serbia;;;;;;;;;x;
eastern_balkans;Eastern Balkans;Balkans orientaux;Östlicher Balkan;;Balcanes orientales;;;;;;;;;x;
greece;Greece;Grèce;Griechenland;;Grecia;;;;;;;;;x;
dacia;Dacia;Dacie;Dakien;;Dacia;;;;;;;;;x;
bulgaria;Bulgaria;Bulgarie;Bulgarien;;Bulgaria;;;;;;;;;x;
turkey;Turkey;Turquie;Türkei;;Turquía;;;;;;;;;x;
asia_minor;Asia Minor;Asie mineure;Kleinasien;;Asia menor;;;;;;;;;x;
anatolia;Anatolia;Anatolie;Anatolien;;Anatolia;;;;;;;;;x;
jagellonian_empire;Jagellonian Empire;Empire jagiellonien;Jagellonisches Reich;;Imperio Jagielloniano;;;;;;;;;x;
wielkopolska;Wielkopolska;Wielkopolska;Wielkopolska;;Gran Polonia;;;;;;;;;x;
malopolska;Malopolska;Malopolska;Malopolska;;Pequeña Polonia;;;;;;;;;x;
lithuania;Lithuania;Lituanie;Litauen;;Lituania;;;;;;;;;x;
belarus;Belarus;Bélarus;Weißrussland;;Belarús;;;;;;;;;x;
ruthenia;Ruthenia;Ruthénie;Ruthenien;;Rutenia;;;;;;;;;x;
slovakia;Slovakia;Slovaquie;Slowakei;;Eslovaquia;;;;;;;;;x;
hungary;Hungary;Hongrie;Ungarn;;Hungría;;;;;;;;;x;
british_isles;British Isles;Îles britanniques;Britische Inseln;;Islas Británicas;;;;;;;;;x;
french_region;France;France;Frankreich;;Francia;;;;;;;;;x;
portuguese_region;Portugal;Portugal;Portugal;;Portugal;;;;;;;;;x;
leon;Leon;Leon;Leon;;León;;;;;;;;;x;
castille;Castille;Castille;Kastilien;;Castilla;;;;;;;;;x;
andalusia;Andalusia;Andalousie;Andalusien;;Andalucía;;;;;;;;;x;
aragon;Aragon;Aragon;Aragon;;Aragón;;;;;;;;;x;
gallia;Gallia;Gallia;Gallien;;Galia;;;;;;;;;x;
brittany;Brittany;Bretagne;Bretagne;;Bretaña;;;;;;;;;x;
aquitania;Aquitania;Aquitaine;Aquitanien;;Aquitania;;;;;;;;;x;
occitania;Occitania;Occitanie;Occitanien;;Occitania;;;;;;;;;x;
ireland;Ireland;Irlande;Irland;;Irlanda;;;;;;;;;x;
highlands;Highlands;Highlands;Highlands;;Tierras Altas Escocesas;;;;;;;;;x;
lowlands;Lowlands;Lowlands;Lowlands;;Tierras Bajas Escocesas;;;;;;;;;x;
northumbria;Northumbria;Northumbria;Northumbrien;;Northumbria;;;;;;;;;x;
mercia;Mercia;Mercie;Mercia;;Mercia;;;;;;;;;x;
wales;Wales;Pays de Galles;Wales;;Gales;;;;;;;;;x;
essex;Essex;Essex;Essex;;Essex;;;;;;;;;x;
denmark;Denmark;Danemark;Dänemark;;Dinamarca;;;;;;;;;x;
norway;Norway;Norvège;Norwegen;;Noruega;;;;;;;;;x;
sweden;Sweden;Suède;Schweden;;Suecia;;;;;;;;;x;
finland;Finland;Finlande;Finnland;;Finlandia;;;;;;;;;x;
old_saxony;Old Saxony;Ancienne Saxonie;Altsachsen;;Vieja Sajonia;;;;;;;;;x;
northeastern_germany;Northeastern Germany;Allemagne nord-orientale;Nordostdeutschland;;Alemania septentrional;;;;;;;;;x;
franconia;Franconia;Franconie;Frankenland;;Franconia;;;;;;;;;x;
lotharingia;Lotharingia;Lotharingie;Lothringen;;Lorena;;;;;;;;;x;
swabia;Swabia;Souabe;Schwaben;;Suabia;;;;;;;;;x;
helvetia;Helvetia;Helvétie;Schweiz;;Helvecia;;;;;;;;;x;
austria;Austria;Autriche;Österreich;;Austria;;;;;;;;;x;
bohemia;Bohemia;Bohême;Böhmen;;Bohemia;;;;;;;;;x;
lombardia;Lombardia;Lombardie;Lombardei;;Lombardía;;;;;;;;;x;
two_sicilies;Two Sicilies;Deux-Siciles;Zwei Sizilien;;Las Dos Sicilias;;;;;;;;;x;
eastern_north_america;Eastern North America;Amérique du Nord orientale;Nordostamerika;;Norteamérica oriental;;;;;;;;;x;
indian_coast;Indian Coast;Côte indienne;Indische Küste;;Costa de la India;;;;;;;;;x;
australian_coast;Australian Coast;Côte australienne;Australische Küste;;Costa australiana;;;;;;;;;x;
indonesian_region;Indonesia;Indonésie;Indonesien;;Indonesia;;;;;;;;;x;
brazil_region;Brazil;Brésil;Brasilien;;Brasil;;;;;;;;;x;
west_african_coast;West African Coast;Côte ouest-africaine;Westafrikanische Küste;;Costa africana occidental;;;;;;;;;x;
japanese_region;Japan;Japon;Japan;;Japón;;;;;;;;;x;
chinese_coast;China;Chine;China;;China;;;;;;;;;x;
persian_region;Persia;Perse;Persien;;Persia;;;;;;;;;x;
indian_region;India;Inde;Indien;;India;;;;;;;;;x;
western_siberia;Western Siberia;Sibérie occidentale;Westsibirien;;Siberia occidental;;;;;;;;;x;
eastern_siberia;Eastern Siberia;Sibérie orientale;Ostsibirien;;Siberia oriental;;;;;;;;;x;
manchuria;Manchuria;Mandchourie;Manchurei;;Manchuria;;;;;;;;;x;
korean_region;Korea;Corée;Korea;;Corea;;;;;;;;;x;
the_thirteen_colonies;The Thirteen Colonies;Les Treize Colonies;Die dreizehn Kolonien;;Las Trece Colonias;;;;;;;;;x;
the_mississippi_region;The Mississippi Region;La région du Mississippi;Die Mississippi-Region;;La región del Mississippi;;;;;;;;;x;
westphalian_region;Westphalia;Westphalie;Westfahlen;;Westfalia;;;;;;;;;x;
east_asian_cot;East Asian Cot;CdC est-asiatique;Ostasiatische Küste;;C.d.c. de Asia oriental;;;;;;;;;x;
ming_china;Ming China;Chine Ming;Ming-China;;Dinastía Ming;;;;;;;;;x;
school_establishment_act_title;Pass School Establishment Act;Promulgation de la loi sur l'établissement d'écoles;Beschließt den Schulgründungs-Akt;;Aprobar la ley de apertura de escuelas;;;;;;;;;x;
school_establishment_act_desc;Promote education by establishing publicly funded schools supervised by the church.;Encouragez l'éducation grâce à l'établissement d'écoles financées par des fonds publics et supervisées par l'Église.;Fördert die Bildung, indem Ihr öffentlich finanzierte Schulen einrichtet, die von der Kirche betrieben werden.;;Promueve la educación a través de la apertura de escuelas con dinero público y supervisadas por la Iglesia.;;;;;;;;;x;
close_foreign_trade_title;Close Foreign Trade;Fermer le commerce étranger;Beendet den fremden Handel;;Cerrar el comercio exterior;;;;;;;;;x;
close_foreign_trade_desc;Minimize western influences by restricting the number of trading posts that are allowed to be operated by foreign traders and promote stricter rules for foreign trade and missionary work over all.;Minimisez les influences occidentales en limitant le nombre de comptoirs commerciaux aux mains de marchands étrangers et en mettant en place des lois plus strictes en matière de commerce étranger et d'intervention de missionnaires.;Minimiert die westlichen Einflüsse, indem ihr die Anzahl der Handelsposten festlegt, die von fremden Händlern betrieben werden dürfen, und strengere Regeln für fremden Handel und Missionarsarbeiten einführt.;;Minimiza las influencias occidentales a través de la restricción de los puestos comerciales en manos de comerciantes extranjeros y la promoción de reglas estrictas para el comercio extranjero y la labor misionera en general.;;;;;;;;;x;
chinese_nation_title;Form Chinese Nation;Former la nation chinoise;Formt die chinesische Nation;;Formar la nación china;;;;;;;;;x;
chinese_nation_desc;We have taken the Forbidden City and destroyed the false emperors. Once more the middle kingdom has been united and we are the true dynasty.;Nous nous sommes emparés de la Cité interdite et avons éliminé les faux empereurs. L’empire du Milieu est à nouveau uni et nous représentons la vraie dynastie.;Wir haben die verbotene Stadt eingenommen und die falschen Kaiser vernichtet. Einmal mehr wurde das Reich der Mitte vereint und wir stellen die wahre Dynastie.;;Hemos tomado la Ciudad Prohibida y destruido a los falsos emperadores. Una vez más, el Reino Medio ha sido unificado, y somos la auténtica dinastía.;;;;;;;;;x;
benign_neglect_title;Benign Neglect;Négligence bénigne;Gutmütige Zurückhaltung;;Tutela colonial;;;;;;;;;x;
benign_neglect_desc;Improve colonial relations by granting your colonies a certain amount of self-government.;Améliorez les relations coloniales en accordant à nos colonies une certaine autonomie.;Verbessert die kolonialen Beziehungen, indem Ihr Euren Kolonien einen bestimmten Grad an Selbstregierung gewährt.;;Mejora las relaciones coloniales gracias a la concesión de cierto grado de autogobierno a las colonias.;;;;;;;;;x;
the_school_establishment_act;The School Establishment Act;Loi relative à l'établissement d'écoles;Der Schulgründungs-Akt;;La ley de apertura de escuelas;;;;;;;;;x;
desc_the_school_establishment_act;Education is promoted by the establishment of publicly funded schools, supervised by the church.;L'éducation est encouragée grâce à l'établissement d'écoles financées par des fonds publics et supervisées par l'Église.;Bildung wird durch die Einrichtung von öffentlich finanzierten Schulen, von der Kirche betrieben, gefördert.;;Se ha promovido la educación a través de la apertura de escuelas públicas, supervisadas por la Iglesia.;;;;;;;;;x;
condemn_western_influences;Condemn Western Influences;Condamner les influences occidentales;Verurteilt den westlichen Einfluss;;Condena de las influencias occidentales;;;;;;;;;x;
desc_condemn_western_influences;Strict rules have been adopted in regards to foreign trade and missionary work.;Des règles strictes ont été mises en place en matière de commerce étranger et d'intervention de missionnaires.;Strenge Regeln wurden eingeführt im Bezug auf fremden Handel und Missionarsarbeiten.;;Se han adoptado reglas estrictas en lo referente al comercio extranjero y a la labor misionera.;;;;;;;;;x;
beneficial_neglect;Benign Neglect;Négligence bénigne;Gutmütige Zurückhaltung;;Tutela colonial;;;;;;;;;x;
desc_beneficial_neglect;Some political freedom has been granted to our colonies in order to improve relations.;Une plus grande liberté politique a été accordée à nos colonies pour renforcer nos relations.;Einige politische Freiheiten wurden unseren Kolonien gewährt, um die Beziehungen zu verbessern.;;Hemos otorgado cierta libertad política a las colonias con el objeto de mejorar las relaciones.;;;;;;;;;x;
MISS_DIST_CAPITAL;Distance from Capital;Distance de la capitale;Distanz zur Hauptstadt;;Distancia de la capital;;;;;;;;;x;
south_american_region;South America;Amérique du Sud;Südamerika;;Sudamérica;;;;;;;;;x;
central_american_region;Central America;Amérique centrale;Zentralamerika;;Centroamérica;;;;;;;;;x;
revoke_restraint_of_appeals_title;Revoke Restraint of Appeals;Annuler les appels;Führt die Appellationsmöglichkeit wieder ein;;Revocar el control de apelaciones;;;;;;;;;x;
revoke_restraint_of_appeals_desc;Revoke the law that was previously passed giving the king final, legal authority in all matters of religion and restore those rights to the Pope.;Annuler la loi précédemment promulguée faisant du roi l'autorité légale en matière de religion et rétablissez les droits du pape.;Widerruft das vorher eingeführte Gesetz, das dem König die letzte, legale Autorität in allen religiösen Belangen gibt und führt diese Rechte für den Papst wieder ein.;;Revoca la ley aprobada anteriormente que hacía del rey la autoridad última y legal en todos los asuntos religiosos y restituye esos derechos al Papa.;;;;;;;;;x;
colonial_expansion_title;Colonial Expansion;Expansion coloniale;Koloniale Expansion;;Expansión colonial;;;;;;;;;x;
colonial_expansion_desc;Promote colonial expansion by introducing a resettlement program.;Étendez les colonies en mettant en place un programme de recolonisation.;Fördert koloniale Expansion durch Einführung eines Neubesiedelungsprogrammes.;;Promueve la expansión colonial a través de la introducción de un programa de reasentamiento.;;;;;;;;;x;
agricultural_cultivation_title;Agricultural Cultivation;Cultures agricoles;Landwirtschaftliche Kultivierung;;Cultivo agrícola;;;;;;;;;x;
agricultural_cultivation_desc;Maximise crop output by shifting focus from small-scale farms to the establishment of large plantations.;Optimisez le rendement des récoltes en privilégiant l'établissement de vastes plantations plutôt que les petites exploitations.;Maximiert die Ernteerträge, indem Ihr die Priorität von kleinen Farmen auf die Errichtung von großen Plantagen umlegt.;;Maximiza la producción de las cosechas estableciendo grandes plantaciones en lugar de basarla en granjas a pequeña escala.;;;;;;;;;x;
navigation_act_title;Pass Navigation Act;Promulguer la loi relative à la navigation;Beschließt den Navigationsakt;;Aprobar la ley de navegación marítima;;;;;;;;;x;
navigation_act_desc;Impose restrictions on the use of foreign shipping in regards to trade and promote the use of national vessels.;Imposez des limites sur l'utilisation de navires étrangers en matière de commerce et renforcez le recours à des navires nationaux.;Führt Beschränkungen ein, die die Benutzung von fremden Schiffen für den Handel regulieren und fördert so die Nutzung von nationalen Schiffen.;;Impone restricciones en el uso de embarcaciones extranjeras en lo relacionado con el comercio y promociona el uso de embarcaciones nacionales.;;;;;;;;;x;
importation_act_title;Pass Importation Act;Promulguer la loi relative aux importations;Beschließt den Importakt;;Aprobar la ley de importación;;;;;;;;;x;
importation_act_desc;Minimize competition for locally produced goods by restricting the type and amount of goods that are allowed to be sold or imported to local centres of trade.;Minimisez la concurrence relative aux marchandises produites localement en limitant le type et la quantité de marchandises autorisées à être vendues ou importées dans les centres de commerce locaux.;Minimiert den Wettbewerb für lokal produzierte Güter, indem Ihr den Typ und die Menge von Waren festlegt, die an lokale Handelszentren verkauft oder importiert werden darf.;;Minimiza la competencia para las mercancías producidas localmente al restringir el tipo y cantidad de bienes que están autorizados para ser vendidos o importados a centros de comercio locales.;;;;;;;;;x;
revocation_of_restraint_of_appeals;Revocation of Restraint of Appeals;Annulation des appels;Wiedereinführung der Apellationsmöglichkeit;;Revocación del control de apelaciones;;;;;;;;;x;
desc_revocation_of_restraint_of_appeals;The Pope has regained his position as the final, legal authority in all matters of religion.;Le pape a retrouvé sa place d'autorité légale en matière de religion.;Der Papst hat seine Position als letzte, legale Autorität in allen religiösen Belangen zurückerhalten.;;El Papa ha recuperado su posición como autoridad última y legítima en todos los asuntos religiosos.;;;;;;;;;x;
colonial_expansions;Colonial Expansion;Expansion coloniale;Koloniale Expansion;;Expansión colonial;;;;;;;;;x;
desc_colonial_expansions;A resettlement program has been introduced to increase the size of our colonies.;Un programme de recolonisation a été mis en place pour étendre nos colonies.;Ein Neubesiedelungsprogramm wurde gestartet, um die Größe unserer Kolonien zu erweitern.;;Se ha introducido un programa de reasentamiento para incrementar el tamaño de nuestras colonias.;;;;;;;;;x;
agricultural_cultivations;Agricultural Cultivation;Cultures agricoles;Landwirtschaftliche Kultivierung;;Cultivo agrícola;;;;;;;;;x;
desc_agricultural_cultivations;Crop output has been maximised by shifting focus from small-scale farms to the establishment of large plantations.;Le rendement des récoltes a été optimisé en privilégiant l'établissement de vastes plantations plutôt que les petites exploitations.;Die Ernteerträge wurden maximiert, indem die Priorität von kleinen Farmen auf die Errichtung von großen Plantagen umgelegt wurde.;;La producción de las cosechas se ha maximizado al establecer grandes plantaciones en lugar de basarla en granjas a pequeña escala.;;;;;;;;;x;
the_navigation_act;The Navigation Act;Loi relative à la navigation;Der Navigationsakt;;La ley de navegación marítima;;;;;;;;;x;
desc_the_navigation_act;Restrictions have been imposed on the use of foreign shipping in regards to trade.;Des limites ont été imposées sur l'utilisation de navires étrangers en matière de commerce.;Restriktionen wurden auf die Verwendung von fremden Schiffen für den Handel eingeführt.;;Se han impuesto restricciones en el uso de embarcaciones extranjeras en lo referente al comercio.;;;;;;;;;x;
the_importation_act;Importation Act;Loi relative aux importations;Importakt;;Ley de importación;;;;;;;;;x;
desc_the_importation_act;Restrictions have been placed on the amount of goods that can be sold or imported from foreign countries.;Des limites ont été imposées sur les marchandises pouvant être vendues ou importées depuis des pays étrangers.;Restriktionen wurden auf die Menge von Gütern eingeführt, die von fremden Nationen verkauft oder importiert wurden.;;Se han aplicado restricciones sobre la cantidad de mercancías que pueden venderse o importarse de países extranjeros.;;;;;;;;;x;
FE_NUM_PLAYERS;Number of Players: $NUM$;Nombre de joueurs : $NUM$;Spieleranzahl: $NUM$;;Número de jugadores: $NUM$;;;;;;;;;x;
house_of_trade_title;Establish a House of Trade;Établir une chambre de commerce;Errichtet ein Handelsamt;;Establecer una Casa del Comercio;;;;;;;;;x;
house_of_trade_desc;Minimize corruption and smuggling by establishing a government agency that will control all colonial trade and colonization in regards to taxes, trade routes and commercial law.;Minimisez la corruption et la contrebande en établissant une agence gouvernementale chargée de gérer l'intégralité du commerce colonial et la colonisation en matière d'impôts, de routes commerciales et de réglementations commerciales.;Minimiert Korruption und Schmuggel durch die Einrichtung eines Regierungsamtes, das allen kolonialen Handel und Kolonisation im Bezug auf Steuern, Handelsrouten und kommerzielle Gesetze kontrollieren wird.;;Minimiza la corrupción y el contrabando gracias al establecimiento de una agencia gubernamental que controlará todo el comercio colonial y los impuestos, las rutas y las leyes comerciales relacionadas con la colonización.;;;;;;;;;x;
the_house_of_trade;House of Trade;Chambre de commerce;Handelsamt;;Casa del Comercio;;;;;;;;;x;
desc_the_house_of_trade;A government agency has been established that will control colonial trade and colonization.;Une agence gouvernementale a été mise en place pour contrôler le commerce colonial et la colonisation.;Ein Regierungsamt wurde eingerichtet, das kolonialen Handel und Kolonisation regeln wird.;;Se ha establecido una agencia gubernamental que controlará el comercio colonial y la colonización.;;;;;;;;;x;
mining_act_title;Pass Mining Act;Promulguer une loi relative à l'exploitation minière;Beschließt den Bergbauakt;;Aprobar la ley de minería;;;;;;;;;x;
mining_act_desc;Increase efficiency by allowing private enterprises to handle all aspects of mining without any governmental involvement, except when it comes to taxation of course.;Augmentez l'efficacité en autorisant des entreprises privées à gérer tous les aspects de l'exploitation minière sans intervention gouvernementale, exception faite des impôts, bien sûr.;Verbessert die Effizienz, indem Ihr privaten Unternehmen erlaubt, alle Aspekte des Bergbaus ohne Regierungseinfluss zu kontrollieren, außer der Besteuerung natürlich.;;Incrementa la eficacia al permitir que las empresas privadas se encarguen de todos los aspectos de la explotación minera sin la intervención gubernamental, excepto cuando se trata de impuestos, claro.;;;;;;;;;x;
the_mining_act;The Mining Act;Loi relative à l'exploitation minière;Der Bergbauakt;;La ley de minería;;;;;;;;;x;
desc_the_mining_act;Apart from a mining tax all aspects of mining are handled by private enterprises.;En dehors d'un impôt minier, toutes les questions liées à l'exploitation minière sont traitées par des entreprises privées.;Abgesehen von einer Bergbausteuer werden alle Aspekte des Bergbaus von privaten Unternehmen kontrolliert.;;Aparte de un impuesto sobre la minería, todos los aspectos de la explotación minera queda en manos de empresas privadas.;;;;;;;;;x;
enlist_privateers_title;Enlist Privateers;Enrôler des corsaires;Heuert Freibeuter an;;Enrolar corsarios;;;;;;;;;x;
enlist_privateers_desc;Commission privateers to disrupt foreign trade by allowing them to pass beyond our country borders in search of enemy vessels or ships belonging to other nations considered untrustworthy.;Faites appel à des corsaires pour désorganiser le commerce étranger en leur permettant de franchir nos frontières en quête de navires ennemis appartenant à d'autres nations considérées comme peu fiables.;Heuert Freibeuter an, denen es erlaubt wird, unsere Landesgrenzen zu verlassen, um nach feindlichen Schiffen zu suchen, um den Handel von fremden Nationen zu stören, die als unglaubwürdig gelten.;;Contrata corsarios para que perturben el comercio extranjero, permitiéndoles atravesar nuestras fronteras en busca de embarcaciones enemigas que pertenezcan a otras naciones consideradas poco fiables.;;;;;;;;;x;
naval_convoy_system_title;Establish a Naval Convoy System;Établir un système de convoi naval;Erreichtet eine Seekonvoi-System;;Establecer un sistema de convoyes navales;;;;;;;;;x;
naval_convoy_system_desc;Adopt a convoy system for vessels carrying gold and other exotic goods from our colonies to prevent pirates and privateers from disrupting our trade.;Adoptez un système de convoi réservé aux navires transportant de l'or et autres marchandises exotiques en provenance de nos colonies pour empêcher pirates et corsaires de désorganiser notre commerce.;Führt ein Konvoisystem für Schiffe, die Gold und andere exotische Güter aus unseren Kolonien transportieren, um sie vor Piraten und Freibeutern zu schützen.;;Adopta un sistema de convoyes para embarcaciones que transportan oro y otras mercancías exóticas desde nuestras colonias, evitando así que piratas y corsarios perturben el comercio.;;;;;;;;;x;
colonial_restrictions_title;Colonial Restrictions;Restrictions coloniales;Koloniale Restriktionen;;Restricciones coloniales;;;;;;;;;x;
colonial_restrictions_desc;Increase control over your colonies by imposing strict rules in regards to trade and production.;Renforcez le contrôle de vos colonies en imposant des règles strictes en matière de commerce et de production.;Verstärkt die Kontrolle über unsere Kolonien, indem ihr strenge Regeln in Bezug auf Handel und Produktion einführt.;;Incrementa el control sobre las propias colonias al imponer estrictas reglas sobre el comercio y la producción.;;;;;;;;;x;
anti_piracy_act_title;Pass Anti-Piracy Act;Promulguer une loi anti-piraterie;Beschließt den Anti-Piraterie Akt;;Aprobar la ley antipiratería;;;;;;;;;x;
anti_piracy_act_desc;Increase the penalties severely for the act of committing piracy to come to terms with the ever-increasing problems it’s causing.;Augmentez de manière drastique les sanctions liées aux actes de piraterie pour permettre fin aux problèmes croissants qu'ils génèrent.;Erhöht die Strafen für Piraterie sehr stark, um mit den immer größeren dadurch entstehenden Problemen fertigzuwerden.;;Aumenta mucho las penas por cometer delitos de piratería, como respuesta a los siempre crecientes problemas que causan.;;;;;;;;;x;
land_recruiting_act_title;Pass Recruiting Act;Promulguer une loi relative au recrutement;Beschließt den Rekrutierungsakt;;Aprobar la ley de reclutamiento;;;;;;;;;x;
land_recruiting_act_desc;A recruiting act would enforce able-bodied men without any means of income to enlist for service and thereby increase the number of regiments considerably.;Une loi relative au recrutement permettrait d'enrôler les hommes bons pour le service sans solde d'aucune sorte et, dès lors, d'accroître le nombre de régiments disponibles.;Ein Rekrutierungsakt, der  alle wehrfähigen Männer ohne Einkommensquelle in die Streitkraft einberufen würde und so die Anzahl unserer Regimenter stark erhöhen würde.;;Una ley de reclutamiento obligaría a hombres sanos sin otra fuente de ingresos a alistarse en el servicio y así se incrementaría de forma considerable el número de regimientos.;;;;;;;;;x;
hire_privateers;Privateers;Corsaires;Freibeuter;;Corsarios;;;;;;;;;x;
desc_hire_privateers;Privateers have been enlisted to disrupt foreign trade and attack enemy vessels.;Des corsaires ont été enrôlés pour désorganiser le commerce étranger et attaquer des navires ennemis.;Freibeuter wurden angeheuert, um fremden Handel zu behindern und feindliche Schiffe anzugreifen.;;Se han contratado corsarios para perturbar el comercio extranjero y atacar a embarcaciones enemigas.;;;;;;;;;x;
convoy_system;Naval Convoy System;Système de convoi naval;Seekonvoi-System;;Sistema de convoyes navales;;;;;;;;;x;
desc_convoy_system;A convoy system for vessels carrying gold or other exotic goods has been adopted to prevent piracy.;Un système de convoi destiné aux navires transportant de l'or et autres marchandises exotiques a été mis en place pour lutter contre la piraterie.;Ein Konvoisystem für Schiffe, die Gold und andere exotische Güter transportieren wurde eingeführt, um der Piraterie entgegenzuwirken.;;Se ha adoptado un sistema de convoyes para prevenir la piratería contra embarcaciones que transportan oro y otras mercancías exóticas.;;;;;;;;;x;
restrictions_for_colonies;Colonial Restrictions;Restrictions coloniales;Koloniale Restriktionen;;Restricciones coloniales;;;;;;;;;x;
desc_restrictions_for_colonies;Strict rules have been established in regards to trade and production to increase control over our colonies.;Des règles strictes ont été imposées en matière de commerce et de production pour renforcer le contrôle de nos colonies.;Strenge Regeln wurden im Bezug auf Handel und Produktion erlassen, die unsere Kontrolle über die Kolonien verstärken sollen.;;Se han establecido reglas estrictas en lo referente al comercio y la producción para incrementar el control sobre nuestras colonias.;;;;;;;;;x;
the_anti_piracy_act;The Anti-Piracy Act;Loi anti-piraterie;Der Anti-Piraterie Akt;;La ley antipiratería;;;;;;;;;x;
desc_the_anti_piracy_act;The penalties for committing piracy have been increased severely.;Les sanctions liées aux actes de piraterie ont augmenté de manière drastique.;Die Strafen für Piraterie wurden viel härter gemacht.;;Se han aumentado las penas por actos de piratería.;;;;;;;;;x;
the_land_recruiting_act;Recruiting Act;Loi relative au recrutement;Rekrutierungsakt;;Ley de reclutamiento;;;;;;;;;x;
desc_the_land_recruiting_act;Enforcing any able-bodied man without any means of income to enlist for service will undoubtedly cause some controversy.;L'enrôlement des hommes bons pour le service sans solde serait certainement très controversé.;Jeden fähigen Mann, der keine Einkommensquelle hat, in die Streitkräfte zu rekrutieren, wird sicher für Kontroversen sorgen.;;Obligar a los hombres sanos sin fuentes de ingresos a alistarse en el ejército causará, sin duda, alguna que otra controversia.;;;;;;;;;x;
