EVTOPTA9073;Claim the crown!;Revendiquez la couronne !;Beansprucht die Krone!;;¡Reclama la corona!;;;;;;;;;x
EVTNAME9074;Renovatio Imperii Romanorum;Renovatio Imperii Romanorum;Renovatio Imperii Romanorum;;Renovatio Imperii Romanorum;;;;;;;;;x
EVTDESC9074;Lose the country;Perte du pays;Verliert das Land;;Pierde el país;;;;;;;;;x
EVTOPTA9074;Ave Caesar!;Ave César !;Ave Caesar!;;¡Ave, César!;;;;;;;;;x
HRE;Holy Roman Empire;Saint Empire romain germanique;Das Heilige Römische Reich;;Sacro Imperio Romano;;;;;;;;;x
HRE_ADJ;Imperial;impérial;Kaiserlich;;Imperial;;;;;;;;;x
CARDINAL_CHANCE_INSTANT;There's a §Y$CHANCE$%§W chance that you will get the next cardinal.;Il y a §Y$CHANCE$%§W de chances pour que vous obteniez le prochain cardinal.;Es gibt eine Chance von $CHANCE$%, dass ihr den nächsten Kardinal bekommt.;;Hay una probabilidad del §Y$CHANCE$%§W de que consigas el próximo cardenal.;;;;;;;;;x
CARDINAL_CHANCE_DELAYED;You have §G$PROVINCES$§W catholic provinces and a papal influence of §G$INFLUENCE$%§W. The chance is also modified by the tax in each province.;Vous possédez §G$PROVINCES$§W provinces catholiques et une influence sur le pape de §G$INFLUENCE$%§W. Les chances varient également en fonction des impôts de chaque province.;Ihr habt §G$PROVINCES$§W katholische Provinzen und einen Papsteinfluss von §G$INFLUENCE$%§W. Die Chance wird auch von der Steuer in jeder Provinz modifiziert.;;Tienes §G$PROVINCES$§W provincias católicas y una influencia papal del §G$INFLUENCE$%§W. La probabilidad también se ve modificada por la tasa en cada provincia.;;;;;;;;;x
HRE_MEMBERS;HRE Members;Membres du Saint Empire romain germanique;Reichsmitglieder;;Miembros del SIR;;;;;;;;;x
HRE_EMPEROR;The Holy Roman Empire;Le Saint Empire romain germanique;Das Heilige Römische Reich;;El Sacro Imperio Romano;;;;;;;;;x
HRE_MEMBER_HAS_NOT_MODIFIER;HRE Members do not have the modifier ;membres du Saint Empire romain germanique n’ont pas le modificateur ;Reichsmitglieder haben nicht den Modifikator;;Los miembros del SIR no tienen el modificador;;;;;;;;;x
HRE_MEMBER_HAS_MODIFIER;HRE Members have the modifier ;membres du Saint Empire romain germanique ont le modificateur ;Reichsmitglieder haben den Modifikator;;Los miembros del SIR tienen el modificador;;;;;;;;;x
HRE_EMPEROR_HAS_NOT_MODIFIER;The HRE does not have the modifier ;Le Saint Empire romain germanique n’a pas le modificateur ;Das Reich hat nicht den Modifikator;;El SIR no tiene el modificador;;;;;;;;;x
HRE_EMPEROR_HAS_MODIFIER;The HRE has the modifier ;Le Saint Empire romain germanique a le modificateur ;Das Reich hat den Modifikator;;El SIR tiene el modificador;;;;;;;;;x
VASSALIZE;Vassalize $WHO$.\n;Vassaliser $WHO$.\n;Vassallisiert $WHO$.\n;;Somete a $WHO$.\n;;;;;;;;;x
grand_marshal;Grand Marshal;Grand maréchal;Feldmarschall;;Mariscal Mayor;;;;;;;;;x
grand_marshal_desc;A skilled Grand Marshal enhances the legitimacy of the royal family by ensuring that their majesty and glory are known by all and sundry.;Un grand maréchal talentueux renforce la légitimité de la famille royale en veillant à ce que sa majesté et sa gloire soient connues de tous.;Ein talentierter Feldmarschall erhöht die Legitimität der Herrscherfamilie indem er sicherstellt, dass seine Majestät und sein Ruhm in aller Welt bekannt sind.;;Un Mariscal Mayor hábil aumenta la legitimidad de la familia real, asegurándose de que su majestad y gloria son conocidas por todos.;;;;;;;;;x
M_FOCUS_BUTTON;Goto National Focus;Voir Cause nationale;Gehe zu nationalem Schwerpunkt;;Ir a foco nacional;;;;;;;;;x
M_FOCUS_BUTTON_NO;We have not set a National Focus;Nous n’avons pas défini de cause nationale;Wir haben keinen nationalen Schwerpunkt festgelegt;;No hemos establecido un foco nacional;;;;;;;;;x
HRE_INTERNAL_CB_ENABLED;Allow Internal HRE Wars;Autoriser les guerres internes au Saint Empire romain germanique;Erlaubt Reichsinterne Kriege;;Permite guerras internas en el SIR;;;;;;;;;x
HRE_INTERNAL_CB_DISABLED;Disallow Internal HRE Wars;Interdire les guerres internes au Saint Empire romain germanique;Verbietet Reichsinterne Kriege;;Prohíbe guerras internas en el SIR;;;;;;;;;x
PERSONAL_UNION;Personal Union;Union personnelle;Personalunion;;Unión personal;;;;;;;;;x
HEREDITARY_RULE;Hereditary Rule;Règne héréditaire;Vererbbare Herrschaft;;Soberanía hereditaria;;;;;;;;;x
DISMANTLE_HRE;Dismantle the Holy Roman Empire;Démanteler le Saint Empire romain germanique;Heiliges Römisches Reich auflösen;;Desarticula el Sacro Imperio Romano;;;;;;;;;x
plutocratic_administration_title;Adopt Plutocratic Administration;Adoption d’une administration ploutocratique;Plutokratische Administration einrichten;;Adopta una administración plutocrática;;;;;;;;;x
plutocratic_administration_desc;In countries economically dependant on trade, the likelihood of merchants demanding political recognition and power increases. With our country's capital located in a lucrative center of trade, and with an established merchant class in place, we can form a trade league to better further our nation's economical interests.;Dans les pays économiquement dépendants du commerce, la probabilité que les marchands réclament une reconnaissance et un pouvoir politiques augmente. La capitale de notre pays se situant dans un centre de commerce lucratif, et compte tenu de la présence d’une classe marchande établie, nous pouvons former une ligue commerciale pour continuer à renforcer les intérêts économiques de notre nation.;In Ländern, deren Wirtschaft vom Handel abhängt steigt die Wahrscheindlichkeit, dass die Händler politischen Einfluss und Macht erlangen. Mit unserer Hauptstadt an einem lukrativen Handelszentrum und einer etablierten, starken Händerklasse können wir nun eine Handelsliga einrichten, um die Wirtschaftsinteressen unserer Nation weiterzuentwickeln.;;En países económicamente dependientes del comercio, la probabilidad de que los mercaderes exijan reconocimiento político y poder aumenta. Con la capital de nuestro país sita en un lucrativo centro de comercio, y una establecida clase mercante en el lugar, podemos constituir una liga comercial para mejorar aún más los intereses económicos de nuestra nación.;;;;;;;;;x
reichsreform_member;Reichsreform;Reichsreform;Reichsreform;;Reforma del Reich;;;;;;;;;x
desc_reichsreform_member;The reformed Imperial administration brings us benefits.;L’administration impériale réformée est avantageuse pour nous.;Die reformierte imperiale Administration bringt uns Vorteile.;;La administración imperial reformada nos depara beneficios.;;;;;;;;;x
reichsreform_emperor;Reichsreform;Reichsreform;Reichsreform;;Reforma del Reich;;;;;;;;;x
desc_reichsreform_emperor;The reformed Imperial administration brings us benefits.;L’administration impériale réformée est avantageuse pour nous.;Die reformierte imperiale Administration bringt uns Vorteile.;;La administración imperial reformada nos depara beneficios.;;;;;;;;;x
reichsregiment_member;Reichsregiment;Reichsregiment;Reichsregiment;;Junta Imperial;;;;;;;;;x
desc_reichsregiment_member;The reformed Imperial government is more efficient, but our foreign policy has become less independent.;Le gouvernement impérial réformé est plus efficace, mais notre politique étrangère est moins indépendante.;Die reformierte imperiale Regierung ist effizienter, aber unsere Aussenpolitik ist nun weniger unabhängig.;;El gobierno imperial reformado es más eficiente, pero nuestra política exterior se ha vuelto menos independiente.;;;;;;;;;x
reichsregiment_emperor;Reichsregiment;Reichsregiment;Reichsregiment;;Junta Imperial;;;;;;;;;x
desc_reichsregiment_emperor;The reformed Imperial government is more effective, and foreign policy for the entire empire is increasingly set by you, the Emperor.;Le gouvernement impérial réformé est plus efficace et, en tant qu’empereur, vous influez davantage sur la politique étrangère de l’empire.;Die reformierte imperiale Regierung ist effizienter und die Aussenpolitik des ganzen Reiches wird von euch, dem Kaiser, bestimmt.;;El gobierno imperial reformado es más eficaz, y la política exterior de todo el imperio es determinada cada vez más por vos, emperador.;;;;;;;;;x
hofgericht_member;Hofgericht;Hofgericht;Hofgericht;;Hofgericht;;;;;;;;;x
desc_hofgericht_member;The emperor has final say on judicial matters, and we are gradually losing our native legal tradition as a result. ;L’empereur a le dernier mot sur les questions judiciaires et nous perdons progressivement notre tradition juridique d’origine.;Der Kaiser hat das letzte Wort in juristischen Belangen, und wir verlieren daher langsam unsere juristische Tradition.;;El emperador tiene la última palabra en cuestiones judiciales, y estamos perdiendo poco a poco nuestra tradición legal nativa como resultado.;;;;;;;;;x
hofgericht_emperor;Hofgericht;Hofgericht;Hofgericht;;Hofgericht;;;;;;;;;x
desc_hofgericht_emperor;With the reaffirmed Hofgericht you, as Emperor, now set legal policy for the entire empire. Skilled policy makers are increasingly drawn to the imperial court.;Avec la réaffirmation du Hofgericht, en tant qu’empereur, vous définissez désormais la politique judiciaire de tout l’empire. Les décideurs talentueux sont de plus en plus attirés par la justice impériale.;Durch das neu eingerichtete Hofgericht habt ihr als Kaiser nun die juristische Basis für das ganze Reich festgelegt. Talentierte Gesetzschreiber werden immer zum kaiserlichen Hof gezogen.;;Con el Hofgericht reafirmado, tú, como emperador, estableces la política legal para todo el imperio. Cada vez más políticos expertos se ven atraídos por la corte imperial.;;;;;;;;;x
gemeinerpfennig_member;Gemeiner Pfennig;Gemeiner Pfennig;Gemeiner Pfennig;;Penique Común;;;;;;;;;x
desc_gemeinerpfennig_member;We are now paying taxes to the Holy Roman Emperor.;Nous payons désormais des impôts à l’empereur du Saint Empire romain germanique.;Wir zahlen nun Steuern an den Kaiser.;;Estamos pagando impuestos al Sacro Emperador Romano.;;;;;;;;;x
gemeinerpfennig_emperor;Gemeiner Pfennig;Gemeiner Pfennig;Gemeiner Pfennig;;Penique Común;;;;;;;;;x
desc_gemeinerpfennig_emperor;Taxes from the entire Empire fill our coffers, but the growing power of the Imperial office is starting to draw the world's attention.;Les impôts prélevés dans tout l’empire remplissent nos coffres, mais le pouvoir grandissant du Bureau impérial commence à attirer l’attention du monde.;Steuern aus dem ganzen Reich füllen unsere Staatskasse, aber die wachsende Macht der imperialen Regierung beginnt die Eifersucht der Welt zu erregen.;;Los impuestos de todo el imperio llenan nuestras arcas, pero el creciente poder del cargo imperial empieza a llamar la atención del mundo.;;;;;;;;;x
landfriede_member;Landfriede;Landfriede;Landfriede;;Paz Pública  ;;;;;;;;;x
desc_landfriede_member;The Emperor has declared peace throughout the Empire.;L’empereur a déclaré la paix dans tout l’empire.;Der Kaiser hat Frieden im ganzen Reich ausgerufen.;;El emperador ha declarado la paz en todo el Imperio.;;;;;;;;;x
landfriede_emperor;Landfriede;Landfriede;Landfriede;;Paz Pública;;;;;;;;;x
desc_landfriede_emperor;We have declared peace throughout the empire.;Nous avons déclaré la paix dans tout l’empire.;Der Kaiser hat Frieden im ganzen Reich ausgerufen.;;Hemos declarado la paz en todo el Imperio.;;;;;;;;;x
erbkaisertum_member;Erbkaisertum;Erbkaisertum;Erbkaisertum;;Monarquía Hereditaria;;;;;;;;;x
desc_erbkaisertum_member;The Holy Roman Empire has become a hereditary monarchy.;Le Saint Empire romain germanique est devenu une monarchie héréditaire.;Das Heilige Römische Reich wurde zu einem Erbkaisertum.;;El Sacro Imperio Romano se ha convertido en una monarquía hereditaria.;;;;;;;;;x
erbkaisertum_emperor;Erbkaisertum;Erbkaisertum;Erbkaisertum;;Monarquía Hereditaria;;;;;;;;;x
desc_erbkaisertum_emperor;The Holy Roman Empire has become a hereditary monarchy.;Le Saint Empire romain germanique est devenu une monarchie héréditaire.;Das Heilige Römische Reich wurde zu einem Erbkaisertum.;;El Sacro Imperio Romano se ha convertido en una monarquía hereditaria.;;;;;;;;;x
privilegia_de_non_appelando_member;Privileges Revoked;Révocation des privilèges;Privilegien widerrufen;;Privilegios revocados;;;;;;;;;x
desc_privilegia_de_non_appelando_member;The 'privilegia de non appelando' have been revoked throughout the empire.;Les "privilegia de non appelando" ont été révoqués dans tout l’empire.;"Die ""privilegia de non appelando"" wurde im ganzen Reich eingeführt.";;Los 'privilegia de non appelando' han sido revocados en todo el imperio.;;;;;;;;;x
privilegia_de_non_appelando_emperor;Privileges Revoked;Révocation des privilèges;Privilegien widerrufen;;Privilegios revocados;;;;;;;;;x
desc_privilegia_de_non_appelando_emperor;The 'privilegia de non appelando' have been revoked throughout the empire.;Les "privilegia de non appelando" ont été révoqués dans tout l’empire.;"Die ""privilegia de non appelando"" wurde im ganzen Reich eingeführt.";;Los 'privilegia de non appelando' han sido revocados en todo el imperio.;;;;;;;;;x
EVTNAME9075;Privileges Revoked;Révocation des privilèges;Privilegien widerrufen;;Privilegios revocados;;;;;;;;;x
EVTDESC9075;The 'privilegia de non appelando' have been revoked throughout the empire.;Les "privilegia de non appelando" ont été révoqués dans tout l’empire.;"Die ""privilegia de non appelando"" wurde im ganzen Reich eingeführt.";;Los 'privilegia de non appelando' han sido revocados en todo el imperio.;;;;;;;;;x
EVTOPTA9075;Demand Oaths of Loyalty;Demandez des serments de loyauté.;Loyalitätseid einfordern;;Exige juramentos de lealtad;;;;;;;;;x
EVTNAME9076;Privileges Revoked;Révocation des privilèges;Privilegien widerrufen;;Privilegios revocados;;;;;;;;;x
EVTDESC9076;The Emperor has revoked our privileges.;L’empereur a révoqué nos privilèges.;Der Kaiser hat unsere Privilegien widerrufen.;;El emperador ha revocado nuestros privilegios.;;;;;;;;;x
EVTOPTA9076;Swear Oath of Loyalty;Prêtez serment de loyauté.;Loyalitätseid schwören;;Haz el juramento de lealtad;;;;;;;;;x
EVTOPTB9076;He may take our lives, but he will never take our freedom.;Il peut prendre nos vies, mais il n’aura jamais notre liberté.;Er mag unser Leben nehmen, aber niemals unsere Freiheit;;Puede llevarse nuestras vidas, pero jamás se llevará nuestra libertad.;;;;;;;;;x
EFFECTIVE_DISTANCE;Effective Distance;Distance effective;Effektive Distanz;;Distancia efectiva;;;;;;;;;x
MOVE_FOCUS_DESC_HEADER;Effects in this and neighboring provinces:;Agit sur cette province et sur ses voisines :;Effekte in dieser und angrenzenden Provinzen:;;Efectos en esta provincia y las vecinas:;;;;;;;;;x
CAN_CREATE_COTS;Can create Center of Trade;Possibilité de créer un centre de commerce;Kann Handelszentrum einrichten;;Puede crearse un centro de comercio;;;;;;;;;x
KILL_HEIR_EFFECT;Current Heir (§Y$NAME$§W) will die.\n;L’héritier actuel (§Y$NAME$§W) va mourir.\n;Derzeitiger Thronfolger (§Y$NAME$§W) wird sterben.\n;;El actual heredero (§Y$NAME$§W) morirá.\n;;;;;;;;;x
LOCAL_PRODUCTION_EFFICIENCY;Local Production Efficiency;Efficacité de la production locale;Lokale Produktionseffizienz;;Eficiencia producción local;;;;;;;;;x
CD_TRADE_RIGHTS;Granting $GOODS$ Trade Rights to $COUNTRY$.;Accorder des droits commerciaux sur les $GOODS$ à $COUNTRY$;Vergibt $GOODS$ Handelsrechte an $COUNTRY$.;;Concesión de $GOODS$ derechos comerciales a $COUNTRY$.;;;;;;;;;x
commission_painting_title;Commission Painting;Commande d’un tableau;Kunstwerk in Auftrag geben;;Encarga un cuadro;;;;;;;;;x
commission_painting_desc;Hire one of the great artists of the time to create a masterpiece.;Engagez un des plus grands peintres de l’époque pour créer un chef-d’œuvre.;Einen der großen Künstler unserer Zeit anstellen, um ein Meisterwerk zu schaffen.;;Contrata a uno de los grandes artistas de la época para que cree una obra maestra.;;;;;;;;;x
endorse_culture_title;Endorse Culture;Soutien de la culture;Kultur fördern;;Apoya la cultura;;;;;;;;;x
endorse_culture_desc;Endorse local artists and performers in various projects.;Soutenez des artistes locaux à travers différents projets.;Lokale Künstler und Akrobaten in verschiedenen Projekten beschäftigen.;;Apoya a los artistas e intérpretes locales en varios proyectos.;;;;;;;;;x
CULTURAL_TRADITION_IRO;Yearly Change: ;Changement annuel :\n;Jährliche Änderung:\n;;Cambio anual:\n;;;;;;;;;x
CULTURAL_TRADITION_DRO;Cultural Tradition is the intellectual potential that your nation has. This will decrease by recruiting Great Men and will also decrease in times of war. Tradition is increased by decisions, buildings, merchants and events.;La tradition culturelle correspond au potentiel intellectuel de votre nation. Celle-ci baisse lorsque des grands hommes sont recrutés ainsi qu’en temps de guerre. La tradition augmente selon les décisions, constructions, marchands et événements.;Kulturtradtion ist das intellektuelle Potenzial eurer Nation. Bei der Einstellung einer großen Persönlichkeit wird sie sinken, wie auch in Zeiten des Krieges. Tradition wird gesteigert durch Entscheidungen, Bauwerke, Kaufleute und Veranstaltungen.;;La tradición cultural es el potencial intelectual de tu nación. Se reducirá reclutando a grandes hombres y también en tiempos de guerra. La tradición crece a través de decisiones, edificios, mercantes y sucesos.;;;;;;;;;x
HEADER_CULTURE;Culture;Culture;Kultur;;Cultura;;;;;;;;;x
CULTURAL_GREATMEN;Recruit Great Men;Recruter des grands hommes;Große Persönlichkeit rekrutieren;;Recluta grandes hombres;;;;;;;;;x
CULTURAL_DECISIONS;Cultural Decisions;Décisions culturelles;Kulturentscheidungen;;Decisiones culturales;;;;;;;;;x
EVTNAME9450;Carnal Sins;Péchés de chair;Sünde des Fleisches;;Pecados carnales;;;;;;;;;x
EVTDESC9450;Could her lips be any redder? Doubtful. Hollow, in the back of your mind, echo the cautioning words of priests and preachers. Is this what the sermons spoke of? The Devil in a woman's body, and the temptations of the flesh? Strange. As devils go, this one looks a lot like an angel. Either way, you'll have to bring this up in your confession on sunday.;Ses lèvres pouvaient-elles être plus rouges ? Vous en doutez. Les mises en garde des prêtres et des prédicateurs vous reviennent en mémoire. Est-ce cela qu’ils évoquent dans leurs sermons ? Le démon incarné par le corps de la femme et la tentation de la chair ? Étrange. Ce démon ressemble plutôt à un ange. Quoi qu’il en soit, vous allez devoir en parler en confession dimanche prochain.;Hätten ihre Lippe röter sein können? Wohl nicht. Leise hört ihr im Hinterkopf die warnenden Wort der Priester und Theologen. Ist das, wovon die Texte sprechen? Der Teufel in Gestalt einer Frau, und die Verführungen des Fleisches? Komisch. Wie Teufel so sind, dieser hier sieht sehr wie ein Engel aus. Wie auch immer, ihr werdet das wohl in eurer nächsten Beichte besprechen müssen.;;¿Podrían ser más rojos sus labios? Lo dudo. En lo profundo de tu mente resuenan las palabras de alerta de sacerdotes y predicadores. ¿Es esto de lo que hablaban los sermones? ¿El Diablo en cuerpo de mujer, y las tentaciones de la carne? Qué extraño. Más que un diablo, parece un ángel. De cualquier modo, tendrás que confesarte el domingo.;;;;;;;;;x
EVTOPTA9450;Forgive me, Father, for I have sinned.;Pardonnez-moi mon père parce que j’ai péché.;Vergebt mir Vater, ich habe gesündigt.;;Perdóname, Padre, porque he pecado.;;;;;;;;;x
EVTOPTB9450;Forgive me, Father, for I have sinned.;Pardonnez-moi mon père parce que j’ai péché.;Vergebt mir Vater, ich habe gesündigt.;;Perdóname, Padre, porque he pecado.;;;;;;;;;x
EVTNAME9451;A beloved heir dies;La mort de l’héritier;Ein geliebter Nachfolger stirbt.;;Un amado heredero muere;;;;;;;;;x
EVTDESC9451;A strange fever has claimed the life of your beloved heir, $HEIR$. As the court sheds its clothes for blacker garments, it strikes you what a frail and transient thing life can be. Just as your thoughts are about to turn to the eternal, a young maid catches your eye...;Une fièvre inconnue a emporté notre bien-aimé héritier, $HEIR$. Tandis que la cour le déshabille pour le revêtir de noir, vous êtes frappé par la fragilité et le caractère éphémère de la vie. Alors que vos pensées sont sur le point de se tourner vers l’éternel, votre regard est attiré par une jeune fille...;Ein seltsames Fieber hat euren geliebten Nachfolger $HEIR$ dahingerafft. Während der Hof sich in Schwarz kleidet denkt ihr darüber nach, wie zerbrechlich das Leben sein kann. Und wie eure Gedanken sich um das Unendliche drehen, verfängt sich euer Blick an einer jungen Frau...;;Una extraña fiebre se ha llevado la vida de tu amado heredero, $HEIR$. Mientras la corte cambia sus ropas por atuendos negros, piensas en lo efímera y frágil que puede ser la vida. Justo cuando tus pensamientos se vuelven hacia lo eterno, una joven doncella te llama la atención...;;;;;;;;;x
EVTOPTA9451;In the arms of the Lord, I find solace.;Dans les bras du Seigneur, je trouve le réconfort.;In den Armen des Herrn finde ich Trost.;;En los brazos del Señor, encuentro consuelo.;;;;;;;;;x
EVTOPTB9451;In the arms of the maid, I find solace.;Dans les bras du Seigneur, je trouve le réconfort.;In der Armen der Frauen finde ich Trost.;;En los brazos de la doncella, encuentro consuelo;;;;;;;;;x
EVTNAME9452;Palace Coup;Coup d’État;Palastumsturz;;Golpe en palacio;;;;;;;;;x
EVTDESC9452;Father, $HEIR_S_PRONOUN$ says, $HEIR_ADJ$ sword pointing at you. 'Your rule has brought this nation to the brink of destruction, and shame to our family.' $HEIR_CAP_S_PRONOUN$ looks nervously at $HEIR_ADJ$ co-conspirators. An other-worldly sense of fatigue washes over you. Betrayal in your own midst?';"Père", dit-$HEIR_S_PRONOUN$, l’épée $HEIR_ADJ$ pointée dans votre direction. "Votre règne a mené cette nation au bord de la destruction et semé la honte sur notre famille". $HEIR_CAP_S_PRONOUN$ regarde nerveusement les co-conspirateurs $HEIR_ADJ$. Un sentiment de lassitude vous envahit. On ose vous trahir ?;"Vater, $HEIR_S_PRONOUN$ sagt mit $HEIR_ADJ$ Schwert auf euch gerichtet. ""Eure Herrschaft hat diese Nation an den Rand des Abgrundes geführt und Schande über unsere Familie gebracht."" $HEIR_CAP_S_PRONOUN$ blickt nervös auf $HEIR_ADJ$ Mitverschwürer. Eine Welle der Müdigkeit überkommt euch. Verrat aus den eigenen Reihen?";;Padre, $HEIR_S_PRONOUN$ dice, $HEIR_ADJ$ apuntándote con la espada. 'Tu reinado ha llevado esta nación al borde de la destrucción, y la vergüenza a nuestra familia.' $HEIR_CAP_S_PRONOUN$ mira nervioso a sus compañeros de conspiración $HEIR_ADJ$. Una sensación de fatiga de otro mundo te invade. ¿Traición entre los tuyos?';;;;;;;;;x
EVTOPTA9452;I feel so old...;Je me sens si vieux...;Ich fühle mich so alt…;;Me siento muy viejo…;;;;;;;;;x
EVTOPTB9452;You spoiled little runt!;Espèce d’avorton trop gâté !;Du verzogener Bengel!;;¡Canalla malcriado!;;;;;;;;;x
EVTNAME9453;The Weeping Song;Le chant des larmes;Das traurige Lied;;Canción de lágrimas;;;;;;;;;x
EVTDESC9453;The war has taken a heavy toll upon the mothers and wives of your nation, and as you pass this ragged old widow where she sits, her face buried deep in her palmed hands, your heir asks: 'Oh Father, why are all the women weeping?';La guerre a prélevé un lourd tribut sur les mères et les femmes de votre nation. En passant devant cette vieille veuve en guenilles assise là, le visage enfoui dans les mains, votre héritier demande : "Oh père, pourquoi toutes les femmes pleurent-elles ?";"Der Krieg lastet schwer auf den Müttern und Ehefrauen eurer Nation und als ihr an dieser alten traurigen Wittwe vorbeikommt, die ihr Gesicht in den Händen vergräbt, fragt euer Nachfolger: ""Oh Vater, wiso weinen all die Frauen?""";;La guerra se ha llevado a muchos esposos e hijos de tu nación, y al pasar junto a esta harapienta y anciana viuda sentada, su faz oculta entre las manos, tu heredero pregunta: 'Padre, ¿por qué lloran todas las mujeres?';;;;;;;;;x
EVTOPTA9453;They are all weeping for their men...;Elles pleurent leurs hommes...;Sie trauern um ihre Männer…;;Lloran por sus hombres…;;;;;;;;;x
EVTOPTB9453;They are merely crying, son.;Elles ne savent rien faire d’autre, petit.;Sie weinen doch nur, Herr…;;Lloran porque sí, hijo.;;;;;;;;;x
EVTNAME9454;A Silent Spring;Un printemps silencieux;Ein ruhiger Frühling;;Primavera silenciosa;;;;;;;;;x
EVTDESC9454;She giggles. - 'Your majesty...', she says. You look at her. Her beauty is unmatched in your realm, and even in realms beyond yours. You say nothing. Spring is in the air, and as you lean in toward her, with the intoxicating scent of her perfume painfully present, a thought crosses your mind...;Elle glousse. - "Majesté...", dit-elle. Vous la regardez. Vous n’avez jamais vu pareille beauté dans tout votre royaume, ni nulle part ailleurs. Vous ne dites rien. Le printemps est dans l’air. Vous vous penchez vers elle et, tandis que son parfum enivrant vous submerge, une pensée vous traverse l’esprit...;"Sie kichert. - ""Eure Majestät..."", sagt sie. Ihr seht sie an. Ihre Schönheit ist in eurem Reich unübertroffen, wie auch in anderen Reichen. Ihr sagt nichts. Der Frühling liegt in der Luft, und als ihr euch zu ihr beugt in den verführerischen Duft ihres Parfums überkommt euch ein Gedanke...";;Ella ríe. -'Su majestad...', dice. La miras. Su belleza no tiene igual en tu reino, ni siquiera en reinos más allá del tuyo. No dices nada. La primavera está en el aire, y al inclinarte hacia ella, con el embriagador olor de su perfume llenándolo todo, un pensamiento te viene a la mente...;;;;;;;;;x
EVTOPTA9454;Cute girl...;Belle fille...;Nettes Mädchen…;;Bonita chica…;;;;;;;;;x
EVTOPTB9454;Bargaining chip...;Outil de marchandage...;Handelsware…;;Negociación…;;;;;;;;;x
EVTNAME9455;Soarée;Soirée;Soarée;;Velada;;;;;;;;;x
EVTDESC9455;The chandeliers blaze shadows and light across the grand ball room of your palace, and the music of a hundred dancing violins fills the air. 'Your Majesty!', 'Your Excellency!', 'My $MONARCHTITLE$!', the foreign guests and local dignitaries greet you. Everywhere is conversation, laughter, discussion, and the breathing, pulsating rhythm of life. Your eyes gaze across the assembled myriads. Who should you talk to tonight?';Les chandeliers projettent une lumière vacillante, créant des jeux d’ombre et de lumière, dans la grande salle de votre palais tandis que la musique de cent violons dansants emplit l’air. "Majesté !", "Votre Excellence !", "$MONARCHTITLE$ !", les invités étrangers et les dignitaires locaux vous saluent dans un brouhaha de conversations et de rires mêlés. Vous balayez l’assemblée du regard. À qui allez-vous parler ce soir ?";"Die Kerzenständer erleuchten den großen Ballsaal eures Palasts und die Musik von hunderten tanzenden Violinen erfüllt die Luft. ""Eure Majestät!"", ""Eure Exzellenz!"", ""Mein Lord!"", grüßen euch die Würdenträger und Gäste. Konversation, Diskussion und Gelächter sind überall, und der pulsierende Rythmus des Lebens. Eure Blicke schweifen über die Menge. Mit wem wollt ihr heute sprechen?";;Los candelabros arrojan luces y sombras a través del gran salón de baile de tu palacio, y la música de cien violines llena el aire. '¡Su Majestad!', 'Su Excelencia!', 'Mi $MONARCHTITLE$!', los invitados extranjeros y dignitarios locales os dan las gracias. Todo es conversación, risa, coloquio y el animado hálito de la vida. Tus ojos observan a la multitud reunida. ¿Con quién deberías hablar esta noche?';;;;;;;;;x
EVTOPTA9455;Good evening, My Lady!;Bonsoir, madame !;Guten Abend, mein Fräulein!;;¡Buenas noches, mi señora!;;;;;;;;;x
EVTOPTB9455;Good evening, My Good Sir!;Bonsoir, monsieur !;Guten Abend, mein Herr!;;¡Buenas noches, mi buen señor!;;;;;;;;;x
EVTNAME9456;Heir falls ill;L’héritier tombe malade;Thronfolger wird krank;;El heredero cae enfermo;;;;;;;;;x
EVTDESC9456;Your heir, $HEIR$, breathes heavily. $HEIR_CAP_S_PRONOUN$ has been lying in bed for three days now, and reflected in the beads of sweat on $HEIR_ADJ$ forehead is the fear in your eyes for $HEIR_ADJ$ life. $HEIR_CAP_S_PRONOUN$ might not make it through the night unless you do something.;Votre héritier, $HEIR$, a du mal à respirer. $HEIR_CAP_S_PRONOUN$ garde le lit depuis trois jours et les gouttes de sueur qui perlent sur le front $HEIR_ADJ$ reflètent votre regard inquiet pour la vie $HEIR_ADJ$. Si vous ne faites rien, $HEIR_CAP_S_PRONOUN$ risque de ne pas passer la nuit.;Euer Nachfolger, $HEIR$, atmet schwer. $HEIR_CAP_S_PRONOUN$ liegt nun seit drei Tagen im Bett, und im Schweiß auf $HEIR_ADJ$ Stirn reflektiert sich die Angst in euren Augen um $HEIR_ADJ$ Leben. $HEIR_CAP_S_PRONOUN$ könnte die Nacht nicht überleben, wenn ihr nichts unternehmt.;;Tu heredero, $HEIR$, respira con dificultad. $HEIR_CAP_S_PRONOUN$ lleva tres días en cama, y reflejado en el sudor de la frente de $HEIR_ADJ$ se ve el miedo en tus ojos por la vida de $HEIR_ADJ$. $HEIR_CAP_S_PRONOUN$ podría no pasar de esta noche a no ser que hagas algo.;;;;;;;;;x
EVTOPTA9456;Send for a trained Medicus.;Vous faites appeler un médecin qualifié.;Schickt nach einem Doktor.;;Envía un médico entrenado.;;;;;;;;;x
EVTOPTB9456;Pray for $HEIR_ADJ$ life.;Vous priez pour la vie $HEIR_ADJ$.;Betet für $HEIR_ADJ$ Leben.;;Reza por la vida de $HEIR_ADJ$.;;;;;;;;;x
